[08-09-2022 10:39:01] logfile /home/db/Projects/homeapp/src/logs/2022-08-09-103901.log built.
[08-09-2022 10:39:01] Application built
[08-09-2022 10:39:01] Starting Server ... 
[08-09-2022 10:39:07] Key : 0
[08-09-2022 10:39:07] Key : 1
[08-09-2022 10:39:07] Key : 2
[08-09-2022 10:39:07] Key : 3
[08-09-2022 10:39:07] Key : 4
[08-09-2022 10:39:07] Key : 5
[08-09-2022 10:39:07] Key : 6
[08-09-2022 10:39:07] Key : 7
[08-09-2022 10:39:07] Key : 8
[08-09-2022 10:39:07] Key : 9
[08-09-2022 10:39:07] Key : 10
[08-09-2022 10:39:07] Key : 11
[08-09-2022 10:39:07] Key : 12
[08-09-2022 10:39:07] Key : 13
[08-09-2022 10:39:07] Key : 14
[08-09-2022 10:39:07] Key : 15
[08-09-2022 10:39:07] Key : 16
[08-09-2022 10:39:07] Key : 17
[08-09-2022 10:39:07] Key : 18
[08-09-2022 10:39:07] Key : 19
