[08-09-2022 10:52:57][server1]logfile /home/db/Projects/homeapp/src/logs/2022-08-09-105257.log built.
[08-09-2022 10:52:57][server1]Application built
[08-09-2022 10:52:57][server1]Starting Server ... 
[08-09-2022 10:53:03][server1]Key : 0
[08-09-2022 10:53:03][server1]Key : 1
[08-09-2022 10:53:03][server1]Key : 2
[08-09-2022 10:53:03][server1]Key : 3
[08-09-2022 10:53:03][server1]Key : 4
[08-09-2022 10:53:03][server1]Key : 5
[08-09-2022 10:53:03][server1]Key : 6
[08-09-2022 10:53:03][server1]Key : 7
[08-09-2022 10:53:03][server1]Key : 8
[08-09-2022 10:53:03][server1]Key : 9
[08-09-2022 10:53:03][server1]Key : 10
[08-09-2022 10:53:03][server1]Key : 11
[08-09-2022 10:53:03][server1]Key : 12
[08-09-2022 10:53:03][server1]Key : 13
[08-09-2022 10:53:03][server1]Key : 14
[08-09-2022 10:53:03][server1]Key : 15
[08-09-2022 10:53:03][server1]Key : 16
[08-09-2022 10:53:03][server1]Key : 17
[08-09-2022 10:53:03][server1]Key : 18
[08-09-2022 10:53:03][server1]Key : 19
